run_dir,seed,exit_code,badge_count,map_explored_pct,events_completed,highest_pokemon_level
sweeps\sweep_20260516_102554\run_000_seed0,0,0,,,,
sweeps\sweep_20260516_102554\run_001_seed1,1,0,,,,
sweeps\sweep_20260516_102554\run_002_seed2,2,0,,,,
sweeps\sweep_20260516_102554\run_003_seed3,3,0,,,,
sweeps\sweep_20260516_102554\run_004_seed4,4,0,,,,
sweeps\sweep_20260516_102554\run_005_seed5,5,0,,,,
sweeps\sweep_20260516_102554\run_006_seed6,6,0,,,,
sweeps\sweep_20260516_102554\run_007_seed7,7,0,,,,
sweeps\sweep_20260516_102554\run_008_seed8,8,0,,,,
sweeps\sweep_20260516_102554\run_009_seed9,9,0,,,,
